Tên trường,Tổng điểm,Loại trường,Vị trí địa lý,Thành phố
Trường Đại học Y Dược Thái Bình,46.55,Công lập,Đồng bằng sông Hồng,Thái Bình
Trường Đại học Y Hà Nội,51.26,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Y khoa Phạm Ngọc Thạch,46.07,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Trường Đại học Y tế Công cộng,50.07,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Điện lực,49.96,Công lập,Đồng bằng sông Hồng,Hà Nội
Trường Đại học Đà Lạt,47.83,Công lập,Duyên hải Nam Trung Bộ và Tây Nguyên,Lâm Đồng
Trường Đại học Đông Á,44.94,Tư thục,Duyên hải Nam Trung Bộ và Tây Nguyên,Đà Nẵng
Trường Đại học Đồng Tháp,50.72,Công lập,Đông Nam Bộ,Đồng Tháp
Đại học Bách khoa Hà Nội,87.84,Công lập,Đồng bằng sông Hồng,Hà Nội
Đại học Công nghiệp Hà Nội,58.64,Công lập,Đồng bằng sông Hồng,Hà Nội
Đại học Cần Thơ,65.09,Công lập,Đồng bằng sông Cửu Long,Cần Thơ
Đại học Duy Tân,66.17,Tư thục,Duyên hải Nam Trung Bộ và Tây Nguyên,Đà Nẵng
Đại học Huế,60.84,Công lập,Bắc Trung Bộ,Thừa Thiên Huế
Đại học Kinh tế Quốc dân,63.63,Công lập,Đồng bằng sông Hồng,Hà Nội
Đại học Kinh tế TP. Hồ Chí Minh,74.94,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Đại học Phenikaa,49.88,Tư thục,Đồng bằng sông Hồng,Hà Nội
Đại học Quốc gia Hà Nội,100.0,Công lập,Đồng bằng sông Hồng,Hà Nội
Đại học Quốc gia TP. Hồ Chí Minh,99.25,Công lập,Đông Nam Bộ,TP. Hồ Chí Minh
Đại học Thái Nguyên,59.61,Công lập,Trung du và miền núi phía Bắc,Thái Nguyên
Đại học Đà Nẵng,64.83,Công lập,Duyên hải Nam Trung Bộ và Tây Nguyên,Đà Nẵng
Trường Đại học Tây Đô,41.91,Tư thục,Đồng bằng sông Cửu Long,Cần Thơ
